date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:43:51	1714/1714	---M--	200	added ('OK')	application/x-javascript	etag:%226b2-56c091c3fc500%22	http://www.bricho.com/demo/brian/with-particles/js/particles.js	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/js/particles.js	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:53	44342/44342	---M--	200	added ('OK')	application/x-javascript	etag:%22ad36-56bf9479c2f00%22	http://www.bricho.com/demo/brian/with-particles/js/owl.carousel.min.js	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/js/owl.carousel.min.js	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:53	43534/43534	---M--	200	added ('OK')	application/x-javascript	etag:%22aa0e-56c0993ef6b00%22	http://www.bricho.com/demo/brian/with-particles/js/jquery.magnific-popup.js	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/js/jquery.magnific-popup.js	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:55	247014/247014	---M--	200	added ('OK')	image/jpeg	etag:%223c4e6-56d76176ad880%22	http://www.bricho.com/demo/brian/with-particles/img/portfolio-img.jpeg	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/img/portfolio-img.jpg	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:55	17293/17293	---M--	200	added ('OK')	application/x-javascript	etag:%22438d-56c4b58570c00%22	http://www.bricho.com/demo/brian/with-particles/js/scrollmagic/minified/ScrollMagic.min.js	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/js/scrollmagic/minified/ScrollMagic.min.js	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:55	23302/23302	---M--	200	added ('OK')	application/x-javascript	etag:%225b06-56c4b58759080%22	http://www.bricho.com/demo/brian/with-particles/js/scrollmagic/uncompressed/plugins/debug.addIndicators.js	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/js/scrollmagic/uncompressed/plugins/debug.addIndicators.js	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:56	4324/4324	---M--	200	added ('OK')	application/x-javascript	etag:%2210e4-56db6a027ed80%22	http://www.bricho.com/demo/brian/with-particles/js/main.js	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/js/main.js	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:57	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://www.bricho.com/demo/brian/with-particles/css/owl.video.play.png	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/css/owl.video.play.png	(from http://www.bricho.com/demo/brian/with-particles/css/owl.carousel.min.css)
07:44:17	267279/267279	---M--	200	added ('OK')	image/jpeg	etag:%224140f-56d75f8e65880%22	http://www.bricho.com/demo/brian/with-particles/img/hero8.jpg	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/img/hero8.jpg	(from http://www.bricho.com/demo/brian/with-particles/css/styles.css)
07:44:21	346775/346775	---M--	200	added ('OK')	image/jpeg	etag:%2254a97-56d75ff74d000%22	http://www.bricho.com/demo/brian/with-particles/img/img3.jpg	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/img/img3.jpg	(from http://www.bricho.com/demo/brian/with-particles/css/styles.css)
